,STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT
0,AL,1,1,161526,Autauga County,H1,A
1,AL,1,3,161527,Baldwin County,H1,A
2,AL,1,5,161528,Barbour County,H1,A
3,AL,1,7,161529,Bibb County,H1,A
4,AL,1,9,161530,Blount County,H1,A
5,AL,1,11,161531,Bullock County,H1,A
6,AL,1,13,161532,Butler County,H1,A
7,AL,1,15,161533,Calhoun County,H1,A
8,AL,1,17,161534,Chambers County,H1,A
9,AL,1,19,161535,Cherokee County,H1,A
10,AL,1,21,161536,Chilton County,H1,A
11,AL,1,23,161537,Choctaw County,H1,A
12,AL,1,25,161538,Clarke County,H1,A
13,AL,1,27,161539,Clay County,H1,A
14,AL,1,29,161540,Cleburne County,H1,A
15,AL,1,31,161541,Coffee County,H1,A
16,AL,1,33,161542,Colbert County,H1,A
17,AL,1,35,161543,Conecuh County,H1,A
18,AL,1,37,161544,Coosa County,H1,A
19,AL,1,39,161545,Covington County,H1,A
20,AL,1,41,161546,Crenshaw County,H1,A
21,AL,1,43,161547,Cullman County,H1,A
22,AL,1,45,161548,Dale County,H1,A
23,AL,1,47,161549,Dallas County,H1,A
24,AL,1,49,161550,DeKalb County,H1,A
25,AL,1,51,161551,Elmore County,H1,A
26,AL,1,53,161552,Escambia County,H1,A
27,AL,1,55,161553,Etowah County,H1,A
28,AL,1,57,161554,Fayette County,H1,A
29,AL,1,59,161555,Franklin County,H1,A
30,AL,1,61,161556,Geneva County,H1,A
31,AL,1,63,161557,Greene County,H1,A
32,AL,1,65,161558,Hale County,H1,A
33,AL,1,67,161559,Henry County,H1,A
34,AL,1,69,161560,Houston County,H1,A
35,AL,1,71,161561,Jackson County,H1,A
36,AL,1,73,161562,Jefferson County,H1,A
37,AL,1,75,161563,Lamar County,H1,A
38,AL,1,77,161564,Lauderdale County,H1,A
39,AL,1,79,161565,Lawrence County,H1,A
40,AL,1,81,161566,Lee County,H1,A
41,AL,1,83,161567,Limestone County,H1,A
42,AL,1,85,161568,Lowndes County,H1,A
43,AL,1,87,161569,Macon County,H1,A
44,AL,1,89,161570,Madison County,H1,A
45,AL,1,91,161572,Marengo County,H1,A
46,AL,1,93,161573,Marion County,H1,A
47,AL,1,95,161574,Marshall County,H1,A
48,AL,1,97,161575,Mobile County,H1,A
49,AL,1,99,161576,Monroe County,H1,A
50,AL,1,101,161577,Montgomery County,H1,A
51,AL,1,103,161578,Morgan County,H1,A
52,AL,1,105,161579,Perry County,H1,A
53,AL,1,107,161580,Pickens County,H1,A
54,AL,1,109,161581,Pike County,H1,A
55,AL,1,111,161582,Randolph County,H1,A
56,AL,1,113,161583,Russell County,H1,A
57,AL,1,115,164997,St. Clair County,H1,A
58,AL,1,117,161584,Shelby County,H1,A
59,AL,1,119,161585,Sumter County,H1,A
60,AL,1,121,161586,Talladega County,H1,A
61,AL,1,123,161587,Tallapoosa County,H1,A
62,AL,1,125,161588,Tuscaloosa County,H1,A
63,AL,1,127,161589,Walker County,H1,A
64,AL,1,129,161590,Washington County,H1,A
65,AL,1,131,161591,Wilcox County,H1,A
66,AL,1,133,161592,Winston County,H1,A
67,AK,2,13,1419964,Aleutians East Borough,H1,A
68,AK,2,16,1419965,Aleutians West Census Area,H5,S
69,AK,2,20,1416061,Anchorage Municipality,H6,C
70,AK,2,50,1419966,Bethel Census Area,H5,S
71,AK,2,60,1419967,Bristol Bay Borough,H1,A
72,AK,2,63,2804400,Chugach Census Area,H5,S
73,AK,2,66,2804401,Copper River Census Area,H5,S
74,AK,2,68,1419988,Denali Borough,H1,A
