state,fy_declared,incident_type,occurred
GA,1953,Flood,0
GA,1953,Severe Storm,0
GA,1953,Fire,0
GA,1953,Hurricane,0
GA,1953,Tornado,1
TX,1953,Flood,1
TX,1953,Severe Storm,0
TX,1953,Fire,0
TX,1953,Hurricane,0
TX,1953,Tornado,1
LA,1953,Flood,1
LA,1953,Severe Storm,0
LA,1953,Fire,0
LA,1953,Hurricane,0
LA,1953,Tornado,0
MI,1953,Flood,0
MI,1953,Severe Storm,0
MI,1953,Fire,0
MI,1953,Hurricane,0
MI,1953,Tornado,1
MT,1953,Flood,1
MT,1953,Severe Storm,0
MT,1953,Fire,0
MT,1953,Hurricane,0
MT,1953,Tornado,0
IA,1953,Flood,1
IA,1953,Severe Storm,0
IA,1953,Fire,0
IA,1953,Hurricane,0
IA,1953,Tornado,0
MA,1953,Flood,0
MA,1953,Severe Storm,0
MA,1953,Fire,0
MA,1953,Hurricane,0
MA,1953,Tornado,1
NH,1953,Flood,0
NH,1953,Severe Storm,0
NH,1953,Fire,1
NH,1953,Hurricane,0
NH,1953,Tornado,0
FL,1954,Flood,1
FL,1954,Severe Storm,0
FL,1954,Fire,0
FL,1954,Hurricane,0
FL,1954,Tornado,0
MS,1954,Flood,0
MS,1954,Severe Storm,0
MS,1954,Fire,0
MS,1954,Hurricane,0
MS,1954,Tornado,1
CA,1954,Flood,1
CA,1954,Severe Storm,0
CA,1954,Fire,0
CA,1954,Hurricane,0
CA,1954,Tornado,0
GA,1954,Flood,0
GA,1954,Severe Storm,0
GA,1954,Fire,0
GA,1954,Hurricane,0
GA,1954,Tornado,1
IA,1954,Flood,1
IA,1954,Severe Storm,0
IA,1954,Fire,0
IA,1954,Hurricane,0
IA,1954,Tornado,0
TX,1954,Flood,1
TX,1954,Severe Storm,0
TX,1954,Fire,0
TX,1954,Hurricane,0
TX,1954,Tornado,0
SD,1954,Flood,1
SD,1954,Severe Storm,0
SD,1954,Fire,0
SD,1954,Hurricane,0
SD,1954,Tornado,0
WV,1954,Flood,1
WV,1954,Severe Storm,0
WV,1954,Fire,0
WV,1954,Hurricane,0
WV,1954,Tornado,0
RI,1954,Flood,0
RI,1954,Severe Storm,0
RI,1954,Fire,0
RI,1954,Hurricane,1
RI,1954,Tornado,0
MA,1954,Flood,0
MA,1954,Severe Storm,0
MA,1954,Fire,0
MA,1954,Hurricane,1
MA,1954,Tornado,0
ME,1954,Flood,0
ME,1954,Severe Storm,0
ME,1954,Fire,0
ME,1954,Hurricane,1
ME,1954,Tornado,0
CT,1954,Flood,0
CT,1954,Severe Storm,0
CT,1954,Fire,0
CT,1954,Hurricane,1
CT,1954,Tornado,0
NY,1955,Flood,0
NY,1955,Severe Storm,0
NY,1955,Fire,0
NY,1955,Hurricane,1
NY,1955,Tornado,0
NM,1955,Flood,1
NM,1955,Severe Storm,0
NM,1955,Fire,0
NM,1955,Hurricane,0
NM,1955,Tornado,0
SC,1955,Flood,0
SC,1955,Severe Storm,0
SC,1955,Fire,0
SC,1955,Hurricane,1
SC,1955,Tornado,0
NC,1955,Flood,0
NC,1955,Severe Storm,0
NC,1955,Fire,0
NC,1955,Hurricane,1
NC,1955,Tornado,0
IN,1955,Flood,1
IN,1955,Severe Storm,0
IN,1955,Fire,0
IN,1955,Hurricane,0
IN,1955,Tornado,0
CO,1955,Flood,1
CO,1955,Severe Storm,0
CO,1955,Fire,0
CO,1955,Hurricane,0
CO,1955,Tornado,0
KS,1955,Flood,0
KS,1955,Severe Storm,0
KS,1955,Fire,0
KS,1955,Hurricane,0
KS,1955,Tornado,1
OK,1955,Flood,1
OK,1955,Severe Storm,0
OK,1955,Fire,0
OK,1955,Hurricane,0
OK,1955,Tornado,0
NV,1955,Flood,1
NV,1955,Severe Storm,0
NV,1955,Fire,0
NV,1955,Hurricane,0
NV,1955,Tornado,0
MA,1955,Flood,0
MA,1955,Severe Storm,0
MA,1955,Fire,0
MA,1955,Hurricane,1
MA,1955,Tornado,0
CT,1955,Flood,0
CT,1955,Severe Storm,0
CT,1955,Fire,0
CT,1955,Hurricane,1
CT,1955,Tornado,0
NJ,1955,Flood,0
NJ,1955,Severe Storm,0
NJ,1955,Fire,0
NJ,1955,Hurricane,1
NJ,1955,Tornado,0
PA,1955,Flood,1
PA,1955,Severe Storm,0
PA,1955,Fire,0
PA,1955,Hurricane,0
PA,1955,Tornado,0
RI,1955,Flood,0
RI,1955,Severe Storm,0
RI,1955,Fire,0
RI,1955,Hurricane,1
RI,1955,Tornado,0
CA,1956,Flood,1
CA,1956,Severe Storm,0
CA,1956,Fire,0
CA,1956,Hurricane,0
CA,1956,Tornado,0
NV,1956,Flood,1
NV,1956,Severe Storm,0
NV,1956,Fire,0
NV,1956,Hurricane,0
NV,1956,Tornado,0
OR,1956,Flood,1
OR,1956,Severe Storm,0
OR,1956,Fire,0
OR,1956,Hurricane,0
OR,1956,Tornado,0
WA,1956,Flood,1
WA,1956,Severe Storm,0
WA,1956,Fire,0
WA,1956,Hurricane,0
WA,1956,Tornado,0
PA,1956,Flood,1
PA,1956,Severe Storm,1
PA,1956,Fire,0
PA,1956,Hurricane,0
PA,1956,Tornado,0
NY,1956,Flood,1
NY,1956,Severe Storm,0
NY,1956,Fire,0
NY,1956,Hurricane,0
NY,1956,Tornado,0
MI,1956,Flood,0
MI,1956,Severe Storm,0
MI,1956,Fire,0
MI,1956,Hurricane,0
MI,1956,Tornado,1
OK,1956,Flood,0
OK,1956,Severe Storm,0
OK,1956,Fire,0
OK,1956,Hurricane,0
OK,1956,Tornado,1
ID,1956,Flood,1
ID,1956,Severe Storm,0
ID,1956,Fire,0
ID,1956,Hurricane,0
ID,1956,Tornado,0
NC,1956,Flood,0
NC,1956,Severe Storm,1
NC,1956,Fire,0
NC,1956,Hurricane,0
NC,1956,Tornado,0
CO,1956,Flood,1
CO,1956,Severe Storm,0
CO,1956,Fire,0
CO,1956,Hurricane,0
CO,1956,Tornado,0
LA,1957,Flood,0
LA,1957,Severe Storm,0
LA,1957,Fire,0
LA,1957,Hurricane,1
LA,1957,Tornado,0
CA,1957,Flood,0
CA,1957,Severe Storm,0
CA,1957,Fire,1
CA,1957,Hurricane,0
